InfluenzaSeasonandEpidemiologicalWeek,TotalFluTests,PositiveFluAH1N1pdm09,PositiveFluAH3,PositiveFluAunsubtyped,TotalFluBPositive,TotalRSVTests,TotalPositiveRSV,TotalParaTests,TotalPositivePara,TotalAdenoTests,TotalPositiveAdeno,TotalhMPVTests,TotalPositivehMPV,TotalEnteroRhinoTests,TotalPositiveEnteroRhino,TotalCoronaTests,TotalPositiveCorona,season,TotalFluPositive,year,week,date
201435,1311.0,0.0,0.0,2.0,3.0,1327.0,5.0,1160.0,23.0,1169.0,16.0,1026.0,1.0,595.0,154.0,1140.0,2.0,2014-2015,5.0,2014,35,2014-09-01
201436,1323.0,0.0,1.0,2.0,1.0,1334.0,3.0,1155.0,27.0,1164.0,20.0,971.0,1.0,621.0,157.0,815.0,2.0,2014-2015,4.0,2014,36,2014-09-08
201437,1928.0,2.0,8.0,3.0,2.0,1827.0,9.0,1590.0,37.0,1600.0,34.0,1410.0,0.0,800.0,261.0,1036.0,0.0,2014-2015,15.0,2014,37,2014-09-15
201438,2458.0,0.0,10.0,4.0,5.0,2451.0,9.0,2120.0,44.0,2136.0,33.0,1813.0,1.0,1196.0,443.0,1360.0,3.0,2014-2015,19.0,2014,38,2014-09-22
201439,2961.0,0.0,16.0,7.0,3.0,2724.0,20.0,2377.0,51.0,2388.0,35.0,2098.0,1.0,1297.0,492.0,1460.0,1.0,2014-2015,26.0,2014,39,2014-09-29
201440,2868.0,1.0,25.0,3.0,2.0,2791.0,12.0,2418.0,46.0,2434.0,49.0,2215.0,1.0,1331.0,443.0,1581.0,10.0,2014-2015,31.0,2014,40,2014-10-06
201441,2963.0,0.0,23.0,8.0,8.0,2902.0,42.0,2504.0,65.0,2511.0,44.0,2260.0,1.0,1440.0,388.0,1523.0,0.0,2014-2015,39.0,2014,41,2014-10-13
201442,2648.0,1.0,29.0,10.0,12.0,2475.0,29.0,2223.0,61.0,2234.0,50.0,1976.0,3.0,1455.0,357.0,1516.0,3.0,2014-2015,52.0,2014,42,2014-10-20
201443,3354.0,0.0,30.0,15.0,6.0,3219.0,67.0,2759.0,92.0,2773.0,67.0,2402.0,3.0,1506.0,388.0,1509.0,6.0,2014-2015,51.0,2014,43,2014-10-27
201444,2994.0,0.0,38.0,12.0,10.0,2870.0,85.0,2425.0,83.0,2437.0,60.0,2190.0,5.0,1310.0,296.0,1416.0,3.0,2014-2015,60.0,2014,44,2014-11-03
