date,season,TotalFluPositive,mean_temp,total_precip,total_snow
2014-09-01,2014-2015,5.0,21.185714285714287,43.4,0.0
2014-09-08,2014-2015,4.0,15.857142857142858,16.2,0.0
2014-09-15,2014-2015,15.0,14.328571428571427,30.6,0.0
2014-09-22,2014-2015,19.0,16.95714285714286,0.0,0.0
2014-09-29,2014-2015,26.0,15.5,9.7,0.0
2014-10-06,2014-2015,31.0,10.957142857142857,16.0,0.0
2014-10-13,2014-2015,39.0,13.185714285714285,24.0,0.0
2014-10-20,2014-2015,52.0,10.057142857142859,8.9,0.0
2014-10-27,2014-2015,51.0,7.285714285714286,16.5,0.0
2014-11-03,2014-2015,60.0,6.671428571428572,10.2,0.0
2014-11-10,2014-2015,99.0,3.4,2.9000000000000004,0.0
2014-11-17,2014-2015,144.0,-1.9,14.4,0.0
2014-11-24,2014-2015,306.0,3.0142857142857147,16.1,0.0
2014-12-01,2014-2015,639.0,-0.5142857142857143,0.7999999999999999,0.0
2014-12-08,2014-2015,1022.0,0.7428571428571429,18.2,0.0
2014-12-15,2014-2015,1739.0,0.6571428571428571,9.7,0.0
2014-12-22,2014-2015,2898.0,4.992857142857143,8.9,0.0
2014-12-29,2014-2015,3153.0,-2.742857142857143,23.1,0.0
2015-01-05,2014-2015,4186.0,-9.657142857142857,2.3,0.0
2015-01-05,2014-2015,4433.0,-9.657142857142857,2.3,0.0
2015-01-12,2014-2015,3911.0,-5.885714285714285,3.0,0.0
2015-01-19,2014-2015,3034.0,-4.4,0.0,0.0
2015-01-26,2014-2015,2478.0,-6.971428571428571,14.0,0.0
2015-02-02,2014-2015,1884.0,-8.371428571428572,16.099999999999998,0.0
2015-02-09,2014-2015,1582.0,-11.4,1.6,0.0
2015-02-16,2014-2015,1345.0,-12.757142857142856,8.2,0.0
2015-02-23,2014-2015,1261.0,-11.542857142857143,0.2,0.0
2015-03-02,2014-2015,1124.0,-5.414285714285714,5.4,0.0
2015-03-09,2014-2015,1066.0,3.257142857142857,0.5,0.0
2015-03-16,2014-2015,1018.0,0.39999999999999997,6.0,0.0
2015-03-23,2014-2015,1044.0,-1.8285714285714287,4.1,0.0
2015-03-30,2014-2015,779.0,4.057142857142857,6.9,0.0
2015-04-06,2014-2015,733.0,6.857142857142857,26.1,0.0
2015-04-13,2014-2015,740.0,12.071428571428571,12.0,0.0
2015-04-20,2014-2015,559.0,6.042857142857143,31.200000000000003,0.0
2015-04-27,2014-2015,419.0,13.842857142857143,0.0,0.0
2015-05-04,2014-2015,317.0,17.7,3.0,0.0
2015-05-11,2014-2015,236.0,14.071428571428571,4.1,0.0
2015-05-18,2014-2015,143.0,13.914285714285715,0.0,0.0
2015-05-25,2014-2015,92.0,19.2,43.0,0.0
2015-06-01,2014-2015,64.0,15.014285714285714,23.0,0.0
2015-06-08,2014-2015,56.0,18.657142857142855,65.8,0.0
2015-06-15,2014-2015,30.0,19.87142857142857,23.6,0.0
2015-06-22,2014-2015,42.0,18.942857142857143,71.5,0.0
2015-06-29,2014-2015,16.0,18.7,0.0,0.0
2015-07-06,2014-2015,6.0,21.042857142857144,10.6,0.0
2015-07-13,2014-2015,13.0,21.3,6.5,0.0
2015-07-20,2014-2015,10.0,22.557142857142857,0.0,0.0
2015-07-27,2014-2015,13.0,25.0,0.0,0.0
2015-08-03,2014-2015,14.0,20.24285714285714,4.3,0.0
2015-08-10,2014-2015,5.0,21.7,18.6,0.0
2015-08-17,2014-2015,13.0,22.271428571428572,8.6,0.0
2015-08-24,2014-2015,8.0,19.314285714285713,1.1,0.0
2015-08-31,2015-2016,9.0,25.071428571428573,1.4,0.0
2015-09-07,2015-2016,18.0,19.785714285714285,39.800000000000004,0.0
2015-09-14,2015-2016,15.0,19.400000000000002,5.1,0.0
2015-09-21,2015-2016,29.0,17.657142857142855,0.0,0.0
2015-09-28,2015-2016,59.0,13.328571428571427,14.7,0.0
2015-10-05,2015-2016,50.0,13.542857142857143,8.1,0.0
2015-10-12,2015-2016,37.0,10.171428571428573,4.2,0.0
2015-10-19,2015-2016,26.0,10.342857142857143,14.1,0.0
2015-10-26,2015-2016,26.0,8.985714285714286,63.099999999999994,0.0
2015-11-02,2015-2016,40.0,11.578571428571427,3.1,0.0
2015-11-09,2015-2016,45.0,7.728571428571429,18.0,0.0
2015-11-16,2015-2016,53.0,7.1571428571428575,1.5,0.0
2015-11-23,2015-2016,52.0,3.857142857142857,3.0999999999999996,0.0
2015-11-30,2015-2016,30.0,4.385714285714285,1.7,0.0
2015-12-07,2015-2016,63.0,7.028571428571429,0.4,0.0
2015-12-14,2015-2016,95.0,4.228571428571429,4.8,0.0
2015-12-21,2015-2016,115.0,7.0928571428571425,9.7,0.0
2015-12-28,2015-2016,183.0,-0.15714285714285708,35.7,0.0
2016-01-04,2015-2016,314.0,-1.2642857142857142,31.8,0.0
2016-01-11,2015-2016,375.0,-3.6142857142857143,6.6000000000000005,0.0
2016-01-18,2015-2016,645.0,-5.642857142857143,3.2,0.0
2016-01-25,2015-2016,933.0,1.4857142857142858,2.0,0.0
2016-02-01,2015-2016,1386.0,3.4285714285714284,3.5,0.0
2016-02-08,2015-2016,2067.0,-8.671428571428573,1.2,0.0
2016-02-15,2015-2016,2484.0,-0.3000000000000001,0.0,0.0
2016-02-22,2015-2016,3697.0,0.07142857142857142,2.5,0.0
2016-02-29,2015-2016,4193.0,-3.2857142857142856,0.3,0.0
2016-03-07,2015-2016,4655.0,8.314285714285715,4.9,0.0
2016-03-14,2015-2016,3994.0,4.642857142857143,12.700000000000001,0.0
2016-03-21,2015-2016,3132.0,2.1285714285714286,15.2,0.0
2016-03-28,2015-2016,2822.0,5.435714285714285,34.199999999999996,0.0
2016-04-04,2015-2016,2045.0,-0.4142857142857143,18.0,0.0
2016-04-11,2015-2016,1514.0,7.578571428571428,3.3000000000000003,0.0
2016-04-18,2015-2016,1146.0,11.564285714285715,1.7000000000000002,0.0
2016-04-25,2015-2016,922.0,7.114285714285715,4.2,0.0
2016-05-02,2015-2016,673.0,11.771428571428572,2.0,0.0
2016-05-09,2015-2016,553.0,11.957142857142857,13.0,0.0
